LY_SP,LY,SP,SP_sample_number,SP_cultivar,SP_plot,SP_subplot,SP_block,SP_spray_fungicide,SP_density,SP_location,SP_fertilizer,SP_spray,SP_lane,SP_parcel,SP_id_on_field_2022,SP_fertiliser,SP_distance_LY_T_2020,SP_grid_point_LY_T_2020,SP_grid_number_LY_T_2020,SP_scheme_LY_T_2020,SP_sampling_1_LY_T_2020,SP_edge_LY_T_2020,SP_sampling_0_LY_T_2020
LY_X_0000__SP_000,LY_X_0000,SP_000,0,,,,,,,,,,,,,,,,,,,,
LY_Z_0000__SP_000,LY_Z_0000,SP_000,0,,,,,,,,,,,,,,,,,,,,
LY_T_2020__SP_001,LY_T_2020,SP_001,1,Elixir,,,,,,,,,,,,,diagonal,ext,1.0,large,A_2,right,A_3
LY_T_2020__SP_002,LY_T_2020,SP_002,2,Elixir,,,,,,,,,,,,,other,ext,2.0,large,C_10,other,C_10
LY_T_2020__SP_003,LY_T_2020,SP_003,3,Elixir,,,,,,,,,,,,,cross,ext,3.0,large,D_15,center,D_30
LY_T_2020__SP_004,LY_T_2020,SP_004,4,Elixir,,,,,,,,,,,,,other,ext,4.0,large,E_18,other,D_30
LY_T_2020__SP_005,LY_T_2020,SP_005,5,Elixir,,,,,,,,,,,,,diagonal,ext,5.0,large,E_18,left,D_30
LY_T_2020__SP_006,LY_T_2020,SP_006,6,Elixir,,,,,,,,,,,,,other,ext,6.0,large,E_18,left,D_30
LY_T_2020__SP_007,LY_T_2020,SP_007,7,Elixir,,,,,,,,,,,,,diagonal,middle,7.0,large,E_18,other,D_30
LY_T_2020__SP_008,LY_T_2020,SP_008,8,Elixir,,,,,,,,,,,,,other,middle,8.0,medium,E_18,other,D_30
LY_T_2020__SP_009,LY_T_2020,SP_009,9,Elixir,,,,,,,,,,,,,other,middle,9.0,medium,E_18,other,D_30
LY_T_2020__SP_010,LY_T_2020,SP_010,10,Elixir,,,,,,,,,,,,,other,middle,10.0,medium,A_2,other,A_3
LY_T_2020__SP_011,LY_T_2020,SP_011,11,Elixir,,,,,,,,,,,,,cross,middle,11.0,large,B_5,center,A_3
LY_T_2020__SP_012,LY_T_2020,SP_012,12,Elixir,,,,,,,,,,,,,diagonal,middle,12.0,large,B_5,other,B_6
LY_T_2020__SP_013,LY_T_2020,SP_013,13,Elixir,,,,,,,,,,,,,other,ext,13.0,large,B_5,right,B_6
LY_T_2020__SP_014,LY_T_2020,SP_014,14,Elixir,,,,,,,,,,,,,cross,ext,14.0,large,B_5,right,B_6
LY_T_2020__SP_015,LY_T_2020,SP_015,15,Elixir,,,,,,,,,,,,,cross,middle,15.0,large,B_5,other,B_6
LY_T_2020__SP_016,LY_T_2020,SP_016,16,Elixir,,,,,,,,,,,,,diagonal,middle,16.0,medium,C_10,center,B_6
LY_T_2020__SP_017,LY_T_2020,SP_017,17,Elixir,,,,,,,,,,,,,cross,middle,18.0,small,C_10,other,B_6
LY_T_2020__SP_018,LY_T_2020,SP_018,18,Elixir,,,,,,,,,,,,,other,middle,20.0,small,C_10,other,C_10
LY_T_2020__SP_019,LY_T_2020,SP_019,19,Elixir,,,,,,,,,,,,,other,middle,21.0,medium,C_10,other,C_10
LY_T_2020__SP_020,LY_T_2020,SP_020,20,Elixir,,,,,,,,,,,,,other,middle,22.0,medium,C_10,other,C_10
LY_T_2020__SP_021,LY_T_2020,SP_021,21,Elixir,,,,,,,,,,,,,cross,middle,23.0,large,C_10,other,C_10
LY_T_2020__SP_022,LY_T_2020,SP_022,22,Elixir,,,,,,,,,,,,,other,middle,24.0,medium,C_10,other,C_10
LY_T_2020__SP_023,LY_T_2020,SP_023,23,Elixir,,,,,,,,,,,,,other,middle,25.0,medium,C_10,other,C_10
LY_T_2020__SP_024,LY_T_2020,SP_024,24,Elixir,,,,,,,,,,,,,other,middle,26.0,medium,C_10,other,C_10
LY_T_2020__SP_025,LY_T_2020,SP_025,25,Elixir,,,,,,,,,,,,,other,middle,27.0,medium,D_15,other,C_10
LY_T_2020__SP_026,LY_T_2020,SP_026,26,Elixir,,,,,,,,,,,,,other,middle,28.0,medium,D_15,other,C_10
LY_T_2020__SP_027,LY_T_2020,SP_027,27,Elixir,,,,,,,,,,,,,other,middle,29.0,medium,D_15,other,D_30
LY_T_2020__SP_028,LY_T_2020,SP_028,28,Elixir,,,,,,,,,,,,,other,middle,30.0,medium,D_15,center,D_30
LY_T_2020__SP_029,LY_T_2020,SP_029,29,Elixir,,,,,,,,,,,,,other,middle,31.0,medium,D_15,center,D_30
LY_T_2020__SP_030,LY_T_2020,SP_030,30,Elixir,,,,,,,,,,,,,other,middle,32.0,medium,D_15,other,D_30
LY_T_2020__SP_031,LY_T_2020,SP_031,31,Elixir,,,,,,,,,,,,,other,middle,33.0,medium,D_15,other,D_30
LY_T_2020__SP_032,LY_T_2020,SP_032,32,Elixir,,,,,,,,,,,,,other,middle,34.0,medium,D_15,other,D_30
LY_T_2020__SP_033,LY_T_2020,SP_033,33,Elixir,,,,,,,,,,,,,other,middle,36.0,medium,D_15,other,D_30
LY_T_2020__SP_034,LY_T_2020,SP_034,34,Elixir,,,,,,,,,,,,,other,middle,37.0,small,D_15,other,D_30
LY_T_2020__SP_035,LY_T_2020,SP_035,35,Elixir,,,,,,,,,,,,,other,middle,39.0,small,D_15,other,D_30
LY_T_2020__SP_036,LY_T_2020,SP_036,36,Elixir,,,,,,,,,,,,,other,middle,41.0,small,D_15,other,D_30
LY_T_2020__SP_037,LY_T_2020,SP_037,37,Elixir,,,,,,,,,,,,,other,middle,47.0,small,D_15,other,D_30
LY_T_2020__SP_038,LY_T_2020,SP_038,38,Elixir,,,,,,,,,,,,,other,middle,49.0,small,D_15,other,D_30
LY_T_2020__SP_039,LY_T_2020,SP_039,39,Elixir,,,,,,,,,,,,,other,middle,51.0,small,E_18,other,D_30
LY_T_2020__SP_040,LY_T_2020,SP_040,40,Elixir,,,,,,,,,,,,,cross,ext,57.0,large,E_18,left,D_30
LY_T_2020__SP_041,LY_T_2020,SP_041,41,Elixir,,,,,,,,,,,,,other,ext,58.0,large,E_18,left,D_30
LY_T_2020__SP_042,LY_T_2020,SP_042,42,Elixir,,,,,,,,,,,,,diagonal,middle,59.0,large,E_18,other,D_30
LY_T_2020__SP_043,LY_T_2020,SP_043,43,Elixir,,,,,,,,,,,,,cross,middle,60.0,large,E_18,center,D_30
LY_T_2020__SP_044,LY_T_2020,SP_044,44,Elixir,,,,,,,,,,,,,diagonal,middle,61.0,large,E_18,other,D_30
LY_T_2020__SP_045,LY_T_2020,SP_045,45,Elixir,,,,,,,,,,,,,other,ext,62.0,large,E_18,right,D_30
LY_T_2020__SP_046,LY_T_2020,SP_046,46,Elixir,,,,,,,,,,,,,diagonal,ext,63.0,large,E_18,right,D_30
LY_T_2020__SP_047,LY_T_2020,SP_047,47,Elixir,,,,,,,,,,,,,other,ext,64.0,large,E_18,other,D_30
LY_T_2020__SP_048,LY_T_2020,SP_048,48,Elixir,,,,,,,,,,,,,cross,ext,65.0,large,E_18,center,D_30
LY_T_2020__SP_049,LY_T_2020,SP_049,49,Elixir,,,,,,,,,,,,,other,ext,66.0,large,E_18,other,D_30
LY_T_2020__SP_050,LY_T_2020,SP_050,50,Elixir,,,,,,,,,,,,,diagonal,ext,67.0,large,E_18,left,D_30
LY_T_2021__SP_001,LY_T_2021,SP_001,1,Heerup,1.0,1.0,1.0,False,450.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_002,LY_T_2021,SP_002,2,Heerup,2.0,1.0,1.0,False,300.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_003,LY_T_2021,SP_003,3,Kvium,3.0,1.0,1.0,False,450.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_004,LY_T_2021,SP_004,4,Sheriff,4.0,1.0,1.0,False,300.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_005,LY_T_2021,SP_005,5,Rembrandt,5.0,1.0,1.0,False,150.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_006,LY_T_2021,SP_006,6,Rembrandt,6.0,1.0,1.0,False,450.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_007,LY_T_2021,SP_007,7,Heerup,7.0,1.0,1.0,False,150.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_008,LY_T_2021,SP_008,8,Sheriff,8.0,1.0,1.0,False,450.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_009,LY_T_2021,SP_009,9,Kvium,9.0,1.0,1.0,False,300.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_010,LY_T_2021,SP_010,10,Sheriff,10.0,1.0,1.0,False,150.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_011,LY_T_2021,SP_011,11,Rembrandt,11.0,1.0,1.0,False,300.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_012,LY_T_2021,SP_012,12,Kvium,12.0,1.0,1.0,False,150.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_013,LY_T_2021,SP_013,13,Kvium,13.0,2.0,1.0,False,150.0,,NORMAL,,,,,,,,,,,,
LY_T_2021__SP_014,LY_T_2021,SP_014,14,Sheriff,14.0,2.0,1.0,False,150.0,,NORMAL,,,,,,,,,,,,
LY_T_2021__SP_015,LY_T_2021,SP_015,15,Sheriff,15.0,2.0,1.0,False,450.0,,NORMAL,,,,,,,,,,,,
LY_T_2021__SP_016,LY_T_2021,SP_016,16,Heerup,16.0,2.0,1.0,False,450.0,,NORMAL,,,,,,,,,,,,
LY_T_2021__SP_017,LY_T_2021,SP_017,17,Rembrandt,17.0,2.0,1.0,False,300.0,,NORMAL,,,,,,,,,,,,
LY_T_2021__SP_018,LY_T_2021,SP_018,18,Heerup,18.0,2.0,1.0,False,300.0,,NORMAL,,,,,,,,,,,,
LY_T_2021__SP_019,LY_T_2021,SP_019,19,Kvium,19.0,2.0,1.0,False,300.0,,NORMAL,,,,,,,,,,,,
LY_T_2021__SP_020,LY_T_2021,SP_020,20,Sheriff,20.0,2.0,1.0,False,300.0,,NORMAL,,,,,,,,,,,,
LY_T_2021__SP_021,LY_T_2021,SP_021,21,Heerup,21.0,2.0,1.0,False,150.0,,NORMAL,,,,,,,,,,,,
LY_T_2021__SP_022,LY_T_2021,SP_022,22,Rembrandt,22.0,2.0,1.0,False,450.0,,NORMAL,,,,,,,,,,,,
LY_T_2021__SP_023,LY_T_2021,SP_023,23,Kvium,23.0,2.0,1.0,False,450.0,,NORMAL,,,,,,,,,,,,
LY_T_2021__SP_024,LY_T_2021,SP_024,24,Rembrandt,24.0,2.0,1.0,False,150.0,,NORMAL,,,,,,,,,,,,
LY_T_2021__SP_025,LY_T_2021,SP_025,25,Kvium,25.0,3.0,1.0,False,450.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_026,LY_T_2021,SP_026,26,Rembrandt,26.0,3.0,1.0,False,300.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_027,LY_T_2021,SP_027,27,Kvium,27.0,3.0,1.0,False,300.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_028,LY_T_2021,SP_028,28,Kvium,28.0,3.0,1.0,False,150.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_029,LY_T_2021,SP_029,29,Sheriff,29.0,3.0,1.0,False,450.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_030,LY_T_2021,SP_030,30,Heerup,30.0,3.0,1.0,False,150.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_031,LY_T_2021,SP_031,31,Sheriff,31.0,3.0,1.0,False,300.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_032,LY_T_2021,SP_032,32,Rembrandt,32.0,3.0,1.0,False,450.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_033,LY_T_2021,SP_033,33,Sheriff,33.0,3.0,1.0,False,150.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_034,LY_T_2021,SP_034,34,Rembrandt,34.0,3.0,1.0,False,150.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_035,LY_T_2021,SP_035,35,Heerup,35.0,3.0,1.0,False,450.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_036,LY_T_2021,SP_036,36,Heerup,36.0,3.0,1.0,False,300.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_037,LY_T_2021,SP_037,37,Sheriff,37.0,4.0,2.0,False,300.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_038,LY_T_2021,SP_038,38,Rembrandt,38.0,4.0,2.0,False,300.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_039,LY_T_2021,SP_039,39,Heerup,39.0,4.0,2.0,False,300.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_040,LY_T_2021,SP_040,40,Heerup,40.0,4.0,2.0,False,450.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_041,LY_T_2021,SP_041,41,Kvium,41.0,4.0,2.0,False,450.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_042,LY_T_2021,SP_042,42,Rembrandt,42.0,4.0,2.0,False,450.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_043,LY_T_2021,SP_043,43,Sheriff,43.0,4.0,2.0,False,450.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_044,LY_T_2021,SP_044,44,Kvium,44.0,4.0,2.0,False,300.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_045,LY_T_2021,SP_045,45,Rembrandt,45.0,4.0,2.0,False,150.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_046,LY_T_2021,SP_046,46,Heerup,46.0,4.0,2.0,False,150.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_047,LY_T_2021,SP_047,47,Kvium,47.0,4.0,2.0,False,150.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_048,LY_T_2021,SP_048,48,Sheriff,48.0,4.0,2.0,False,150.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_049,LY_T_2021,SP_049,49,Rembrandt,49.0,5.0,2.0,False,300.0,,NORMAL,,,,,,,,,,,,
LY_T_2021__SP_050,LY_T_2021,SP_050,50,Kvium,50.0,5.0,2.0,False,150.0,,NORMAL,,,,,,,,,,,,
LY_T_2021__SP_051,LY_T_2021,SP_051,51,Sheriff,51.0,5.0,2.0,False,300.0,,NORMAL,,,,,,,,,,,,
LY_T_2021__SP_052,LY_T_2021,SP_052,52,Rembrandt,52.0,5.0,2.0,False,450.0,,NORMAL,,,,,,,,,,,,
LY_T_2021__SP_053,LY_T_2021,SP_053,53,Heerup,53.0,5.0,2.0,False,450.0,,NORMAL,,,,,,,,,,,,
LY_T_2021__SP_054,LY_T_2021,SP_054,54,Heerup,54.0,5.0,2.0,False,300.0,,NORMAL,,,,,,,,,,,,
LY_T_2021__SP_055,LY_T_2021,SP_055,55,Rembrandt,55.0,5.0,2.0,False,150.0,,NORMAL,,,,,,,,,,,,
LY_T_2021__SP_056,LY_T_2021,SP_056,56,Heerup,56.0,5.0,2.0,False,150.0,,NORMAL,,,,,,,,,,,,
LY_T_2021__SP_057,LY_T_2021,SP_057,57,Sheriff,57.0,5.0,2.0,False,150.0,,NORMAL,,,,,,,,,,,,
LY_T_2021__SP_058,LY_T_2021,SP_058,58,Kvium,58.0,5.0,2.0,False,300.0,,NORMAL,,,,,,,,,,,,
LY_T_2021__SP_059,LY_T_2021,SP_059,59,Sheriff,59.0,5.0,2.0,False,450.0,,NORMAL,,,,,,,,,,,,
LY_T_2021__SP_060,LY_T_2021,SP_060,60,Kvium,60.0,5.0,2.0,False,450.0,,NORMAL,,,,,,,,,,,,
LY_T_2021__SP_061,LY_T_2021,SP_061,61,Sheriff,61.0,6.0,2.0,False,450.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_062,LY_T_2021,SP_062,62,Sheriff,62.0,6.0,2.0,False,300.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_063,LY_T_2021,SP_063,63,Kvium,63.0,6.0,2.0,False,450.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_064,LY_T_2021,SP_064,64,Heerup,64.0,6.0,2.0,False,450.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_065,LY_T_2021,SP_065,65,Heerup,65.0,6.0,2.0,False,150.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_066,LY_T_2021,SP_066,66,Rembrandt,66.0,6.0,2.0,False,150.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_067,LY_T_2021,SP_067,67,Kvium,67.0,6.0,2.0,False,150.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_068,LY_T_2021,SP_068,68,Rembrandt,68.0,6.0,2.0,False,450.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_069,LY_T_2021,SP_069,69,Rembrandt,69.0,6.0,2.0,False,300.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_070,LY_T_2021,SP_070,70,Heerup,70.0,6.0,2.0,False,300.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_071,LY_T_2021,SP_071,71,Sheriff,71.0,6.0,2.0,False,150.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_072,LY_T_2021,SP_072,72,Kvium,72.0,6.0,2.0,False,300.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_073,LY_T_2021,SP_073,73,Rembrandt,73.0,7.0,3.0,False,300.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_074,LY_T_2021,SP_074,74,Rembrandt,74.0,7.0,3.0,False,450.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_075,LY_T_2021,SP_075,75,Heerup,75.0,7.0,3.0,False,150.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_076,LY_T_2021,SP_076,76,Rembrandt,76.0,7.0,3.0,False,150.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_077,LY_T_2021,SP_077,77,Sheriff,77.0,7.0,3.0,False,150.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_078,LY_T_2021,SP_078,78,Heerup,78.0,7.0,3.0,False,450.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_079,LY_T_2021,SP_079,79,Kvium,79.0,7.0,3.0,False,150.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_080,LY_T_2021,SP_080,80,Kvium,80.0,7.0,3.0,False,450.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_081,LY_T_2021,SP_081,81,Heerup,81.0,7.0,3.0,False,300.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_082,LY_T_2021,SP_082,82,Sheriff,82.0,7.0,3.0,False,300.0,,HALF,,,,,,,,,,,,
LY_T_2021__SP_083,LY_T_2021,SP_083,83,Kvium,83.0,7.0,3.0,False,300.0,,HALF,,,,,,,,,,,,
