sampling_plot_id,location_year_id,scheme,grid_number,grid_point,distance,edge,block,plot,subplot,plot_label,x,y,spray_fungicide,fertiliser,cultivar,cultivar_alt,density,spray,fertilizer
SP__LY__2021__2.0__53.0__5.0,LY__2021,,,,,,2.0,53.0,5.0,,,,n,Normal,Heerup,,450.0,,
SP__LY__2021__2.0__52.0__5.0,LY__2021,,,,,,2.0,52.0,5.0,,,,n,Normal,Rembrandt,,450.0,,
SP__LY__2021__2.0__51.0__5.0,LY__2021,,,,,,2.0,51.0,5.0,,,,n,Normal,Sheriff,,300.0,,
SP__LY__2021__2.0__50.0__5.0,LY__2021,,,,,,2.0,50.0,5.0,,,,n,Normal,Kvium,,150.0,,
SP__LY__2021__2.0__49.0__5.0,LY__2021,,,,,,2.0,49.0,5.0,,,,n,Normal,Rembrandt,,300.0,,
SP__LY__2021__2.0__48.0__4.0,LY__2021,,,,,,2.0,48.0,4.0,,,,n,Zero,Sheriff,,150.0,,
SP__LY__2021__2.0__47.0__4.0,LY__2021,,,,,,2.0,47.0,4.0,,,,n,Zero,Kvium,,150.0,,
SP__LY__2021__2.0__46.0__4.0,LY__2021,,,,,,2.0,46.0,4.0,,,,n,Zero,Heerup,,150.0,,
SP__LY__2021__2.0__45.0__4.0,LY__2021,,,,,,2.0,45.0,4.0,,,,n,Zero,Rembrandt,,150.0,,
SP__LY__2021__2.0__44.0__4.0,LY__2021,,,,,,2.0,44.0,4.0,,,,n,Zero,Kvium,,300.0,,
SP__LY__2021__2.0__43.0__4.0,LY__2021,,,,,,2.0,43.0,4.0,,,,n,Zero,Sheriff,,450.0,,
SP__LY__2021__2.0__42.0__4.0,LY__2021,,,,,,2.0,42.0,4.0,,,,n,Zero,Rembrandt,,450.0,,
SP__LY__2021__2.0__41.0__4.0,LY__2021,,,,,,2.0,41.0,4.0,,,,n,Zero,Kvium,,450.0,,
SP__LY__2021__2.0__39.0__4.0,LY__2021,,,,,,2.0,39.0,4.0,,,,n,Zero,Heerup,,300.0,,
SP__LY__2021__3.0__93.0__8.0,LY__2021,,,,,,3.0,93.0,8.0,,,,n,Zero,Rembrandt,,300.0,,
SP__LY__2022__1.0__1.0,LY__2022,,,,,,1.0,1.0,,,,,n,n,Rembrandt,,unknown,,
SP__LY__2022__3.0__8.0,LY__2022,,,,,,3.0,8.0,,,,,n,n,Kvium,,unknown,,
SP__LY__2022__3.0__9.0,LY__2022,,,,,,3.0,9.0,,,,,y,n,Heerup,,unknown,,
SP__LY__2022__5.0__13.0,LY__2022,,,,,,5.0,13.0,,,,,n,n,Kvium,,unknown,,
SP__LY__2022__5.0__14.0,LY__2022,,,,,,5.0,14.0,,,,,n,n,Rembrandt,,unknown,,
SP__LY__2022__1.0__2.0,LY__2022,,,,,,1.0,2.0,,,,,n,n,Rembrandt,,unknown,,
SP__LY__2022__1.0__3.0,LY__2022,,,,,,1.0,3.0,,,,,n,n,Heerup,,unknown,,
SP__LY__2022__3.0__7.0,LY__2022,,,,,,3.0,7.0,,,,,n,n,Rembrandt,,unknown,,
SP__LY__2022__7.0__21.0,LY__2022,,,,,,7.0,21.0,,,,,y,n,Heerup,,unknown,,
SP__LY__2022__1.0__1.0,LY__2022,,,,,,1.0,1.0,,,,,n,n,Rembrandt,,,,
SP__LY__2022__1.0__2.0,LY__2022,,,,,,1.0,2.0,,,,,n,n,Heerup,,,,
SP__LY__2022__7.0__20.0,LY__2022,,,,,,7.0,20.0,,,,,n,n,Kvium,,unknown,,
SP__LY__2022__5.0__15.0,LY__2022,,,,,,5.0,15.0,,,,,y,n,Heerup,,unknown,,
SP__LY__2022__7.0__19.0,LY__2022,,,,,,7.0,19.0,,,,,n,n,Rembrandt,,unknown,,
SP__LY__2022__1.0__1.0,LY__2022,,,,,,1.0,1.0,,,,,n,n,Kvium,,unknown,,
SP__LY__2022__9.0__14.0,LY__2022,,,,,,9.0,14.0,,,,,n,n,Kvium,,unknown,,
SP__LY__2022__9.0__15.0,LY__2022,,,,,,9.0,15.0,,,,,n,n,Rembrandt,,unknown,,
SP__LY__2022__10.0__16.0,LY__2022,,,,,,10.0,16.0,,,,,y,n,Rembrandt,,unknown,,
SP__LY__2022__10.0__17.0,LY__2022,,,,,,10.0,17.0,,,,,y,n,Heerup,,unknown,,
SP__LY__2022__10.0__18.0,LY__2022,,,,,,10.0,18.0,,,,,y,n,Kvium,,unknown,,
SP__LY__2022__13.0__19.0,LY__2022,,,,,,13.0,19.0,,,,,n,n,Rembrandt,,unknown,,
SP__LY__2022__13.0__20.0,LY__2022,,,,,,13.0,20.0,,,,,n,n,Heerup,,unknown,,
SP__LY__2022__14.0__21.0,LY__2022,,,,,,14.0,21.0,,,,,y,n,Heerup,,unknown,,
SP__LY__2022__9.0__13.0,LY__2022,,,,,,9.0,13.0,,,,,n,n,Heerup,,unknown,,
SP__LY__2022__15.0__22.0,LY__2022,,,,,,15.0,22.0,,,,,y,n,Kvium,,unknown,,
SP__LY__2022__16.0__24.0,LY__2022,,,,,,16.0,24.0,,,,,n,n,Kvium,,unknown,,
SP__LY__2022__1.0__2.0,LY__2022,,,,,,1.0,2.0,,,,,n,n,Heerup,,unknown,,
SP__LY__2022__3.0__3.0,LY__2022,,,,,,3.0,3.0,,,,,y,n,Kvium,,unknown,,
SP__LY__2022__3.0__4.0,LY__2022,,,,,,3.0,4.0,,,,,y,n,Heerup,,unknown,,
SP__LY__2022__3.0__5.0,LY__2022,,,,,,3.0,5.0,,,,,y,n,Rembrandt,,unknown,,
SP__LY__2022__4.0__6.0,LY__2022,,,,,,4.0,6.0,,,,,n,n,Kvium,,unknown,,
SP__LY__2022__6.0__7.0,LY__2022,,,,,,6.0,7.0,,,,,y,n,Heerup,,unknown,,
SP__LY__2022__15.0__23.0,LY__2022,,,,,,15.0,23.0,,,,,y,n,Rembrandt,,unknown,,
SP__LY__2022__8.0__12.0,LY__2022,,,,,,8.0,12.0,,,,,n,n,Kvium,,unknown,,
SP__LY__2022__8.0__11.0,LY__2022,,,,,,8.0,11.0,,,,,n,n,Rembrandt,,unknown,,
SP__LY__2022__8.0__10.0,LY__2022,,,,,,8.0,10.0,,,,,n,n,Heerup,,unknown,,
SP__LY__2022__7.0__6.0,LY__2022,,,,,,7.0,6.0,,,,,n,n,Kvium,,unknown,,
SP__LY__2022__7.0__8.0,LY__2022,,,,,,7.0,8.0,,,,,y,n,Rembrandt,,unknown,,
SP__LY__2022__7.0__9.0,LY__2022,,,,,,7.0,9.0,,,,,y,n,Kvium,,unknown,,
SP__LY__2022__3.0__3.0,LY__2022,,,,,,3.0,3.0,,,,,y,n,Kvium,,,,
SP__LY__2022__3.0__5.0,LY__2022,,,,,,3.0,5.0,,,,,y,n,Rembrandt,,,,
SP__LY__2022__2.0__10.0,LY__2022,,,,,,2.0,10.0,,,,,n,n,Rembrandt,,,,
SP__LY__2022__2.0__11.0,LY__2022,,,,,,2.0,11.0,,,,,n,n,Kvium,,,,
SP__LY__2022__2.0__12.0,LY__2022,,,,,,2.0,12.0,,,,,n,n,Heerup,,,,
SP__LY__2022__3.0__13.0,LY__2022,,,,,,3.0,13.0,,,,,n,n,Heerup,,,,
SP__LY__2022__1.0__3.0,LY__2022,,,,,,1.0,3.0,,,,,n,n,Kvium,,,,
SP__LY__2022__1.0__4.0,LY__2022,,,,,,1.0,4.0,,,,,y,n,Rembrandt,,,,
SP__LY__2022__1.0__5.0,LY__2022,,,,,,1.0,5.0,,,,,y,n,Kvium,,,,
SP__LY__2022__1.0__6.0,LY__2022,,,,,,1.0,6.0,,,,,y,n,Heerup,,,,
SP__LY__2022__2.0__7.0,LY__2022,,,,,,2.0,7.0,,,,,y,n,Heerup,,,,
SP__LY__2022__2.0__8.0,LY__2022,,,,,,2.0,8.0,,,,,y,n,Rembrandt,,,,
SP__LY__2022__2.0__9.0,LY__2022,,,,,,2.0,9.0,,,,,y,n,Kvium,,,,
SP__LY__2022__4.0__22.0,LY__2022,,,,,,4.0,22.0,,,,,n,n,Kvium,,,,
SP__LY__2022__4.0__23.0,LY__2022,,,,,,4.0,23.0,,,,,n,n,Rembrandt,,,,
SP__LY__2022__4.0__24.0,LY__2022,,,,,,4.0,24.0,,,,,n,n,Heerup,,,,
SP__LY__2022__4.0__21.0,LY__2022,,,,,,4.0,21.0,,,,,y,n,Kvium,,,,
SP__LY__2022__3.0__14.0,LY__2022,,,,,,3.0,14.0,,,,,n,n,Rembrandt,,,,
SP__LY__2022__3.0__15.0,LY__2022,,,,,,3.0,15.0,,,,,n,n,Kvium,,,,
SP__LY__2022__3.0__16.0,LY__2022,,,,,,3.0,16.0,,,,,y,n,Rembrandt,,,,
SP__LY__2022__3.0__17.0,LY__2022,,,,,,3.0,17.0,,,,,y,n,Kvium,,,,
SP__LY__2022__3.0__18.0,LY__2022,,,,,,3.0,18.0,,,,,y,n,Heerup,,,,
SP__LY__2022__4.0__19.0,LY__2022,,,,,,4.0,19.0,,,,,y,n,Rembrandt,,,,
SP__LY__2022__4.0__20.0,LY__2022,,,,,,4.0,20.0,,,,,y,n,Heerup,,,,
SP__LY__2022__3.0__4.0,LY__2022,,,,,,3.0,4.0,,,,,y,n,Heerup,,,,
SP__LY__2022__8.0__11.0,LY__2022,,,,,,8.0,11.0,,,,,n,n,Rembrandt,,,,
SP__LY__2022__8.0__12.0,LY__2022,,,,,,8.0,12.0,,,,,n,n,Kvium,,,,
SP__LY__2022__9.0__13.0,LY__2022,,,,,,9.0,13.0,,,,,n,n,Heerup,,,,
SP__LY__2022__9.0__14.0,LY__2022,,,,,,9.0,14.0,,,,,n,n,Kvium,,,,
SP__LY__2022__4.0__6.0,LY__2022,,,,,,4.0,6.0,,,,,n,n,Kvium,,,,
SP__LY__2022__6.0__7.0,LY__2022,,,,,,6.0,7.0,,,,,y,n,Heerup,,,,
SP__LY__2022__7.0__8.0,LY__2022,,,,,,7.0,8.0,,,,,y,n,Rembrandt,,,,
SP__LY__2022__7.0__9.0,LY__2022,,,,,,7.0,9.0,,,,,y,n,Kvium,,,,
SP__LY__2022__8.0__10.0,LY__2022,,,,,,8.0,10.0,,,,,n,n,Heerup,,,,
SP__LY__2022__13.0__20.0,LY__2022,,,,,,13.0,20.0,,,,,n,n,Heerup,,,,
SP__LY__2022__14.0__21.0,LY__2022,,,,,,14.0,21.0,,,,,y,n,Heerup,,,,
SP__LY__2022__15.0__22.0,LY__2022,,,,,,15.0,22.0,,,,,y,n,Kvium,,,,
SP__LY__2022__15.0__23.0,LY__2022,,,,,,15.0,23.0,,,,,y,n,Rembrandt,,,,
SP__LY__2022__16.0__24.0,LY__2022,,,,,,16.0,24.0,,,,,n,n,Kvium,,,,
SP__LY__2022__9.0__15.0,LY__2022,,,,,,9.0,15.0,,,,,n,n,Rembrandt,,,,
SP__LY__2022__10.0__16.0,LY__2022,,,,,,10.0,16.0,,,,,y,n,Rembrandt,,,,
SP__LY__2022__10.0__17.0,LY__2022,,,,,,10.0,17.0,,,,,y,n,Heerup,,,,
SP__LY__2022__10.0__18.0,LY__2022,,,,,,10.0,18.0,,,,,y,n,Kvium,,,,
SP__LY__2022__13.0__19.0,LY__2022,,,,,,13.0,19.0,,,,,n,n,Rembrandt,,,,
SP__LY__2022__3.0__8.0,LY__2022,,,,,,3.0,8.0,,,,,n,n,Kvium,,,,
SP__LY__2022__3.0__9.0,LY__2022,,,,,,3.0,9.0,,,,,y,n,Heerup,,,,
SP__LY__2022__5.0__13.0,LY__2022,,,,,,5.0,13.0,,,,,n,n,Kvium,,,,
SP__LY__2022__5.0__14.0,LY__2022,,,,,,5.0,14.0,,,,,n,n,Rembrandt,,,,
SP__LY__2022__1.0__2.0,LY__2022,,,,,,1.0,2.0,,,,,n,n,Rembrandt,,,,
SP__LY__2022__1.0__3.0,LY__2022,,,,,,1.0,3.0,,,,,n,n,Heerup,,,,
SP__LY__2022__3.0__7.0,LY__2022,,,,,,3.0,7.0,,,,,n,n,Rembrandt,,,,
SP__LY__2022__7.0__21.0,LY__2022,,,,,,7.0,21.0,,,,,y,n,Heerup,,,,
SP__LY__2022__1.0__1.0,LY__2022,,,,,,1.0,1.0,,,,,n,n,Kvium,,,,
SP__LY__2022__7.0__20.0,LY__2022,,,,,,7.0,20.0,,,,,n,n,Kvium,,,,
SP__LY__2022__5.0__15.0,LY__2022,,,,,,5.0,15.0,,,,,y,n,Heerup,,,,
SP__LY__2022__7.0__19.0,LY__2022,,,,,,7.0,19.0,,,,,n,n,Rembrandt,,,,
SP__LY__2022__7.0__6.0,LY__2022,,,,,,7.0,6.0,,,,,n,n,Kvium,,,,
SP__LY__2022__UNKNOWN,LY__2022,,,,,,,,,,,,,,,,,,
SP__LY__2022__2.0,LY__2022,,,,,,,,,2.0,,,,,,heerup,,yes,
SP__LY__2022__3.0,LY__2022,,,,,,,,,3.0,,,,,,kvium,,no,
SP__LY__2022__4.0,LY__2022,,,,,,,,,4.0,,,,,,heerup,,no,
SP__LY__2022__5.0,LY__2022,,,,,,,,,5.0,,,,,,rembrandt,,no,
SP__LY__2022__6.0,LY__2022,,,,,,,,,6.0,,,,,,kvium,,yes,
SP__LY__2022__7.0,LY__2022,,,,,,,,,7.0,,,,,,heerup,,no,
SP__LY__2022__8.0,LY__2022,,,,,,,,,8.0,,,,,,rembrandt,,no,
SP__LY__2022__1.0,LY__2022,,,,,,,,,1.0,,,,,,rembrandt,,yes,
SP__LY__2022__20.0,LY__2022,,,,,,,,,20.0,,,,,,heerup,,yes,
SP__LY__2022__21.0,LY__2022,,,,,,,,,21.0,,,,,,heerup,,no,
SP__LY__2022__22.0,LY__2022,,,,,,,,,22.0,,,,,,kvium,,no,
SP__LY__2022__23.0,LY__2022,,,,,,,,,23.0,,,,,,rembrandt,,no,
SP__LY__2022__24.0,LY__2022,,,,,,,,,24.0,,,,,,kvium,,yes,
SP__LY__2022__19.0,LY__2022,,,,,,,,,19.0,,,,,,rembrandt,,yes,
SP__LY__2022__9.0,LY__2022,,,,,,,,,9.0,,,,,,kvium,,no,
SP__LY__2022__10.0,LY__2022,,,,,,,,,10.0,,,,,,heerup,,yes,
SP__LY__2022__18.0,LY__2022,,,,,,,,,18.0,,,,,,kvium,,no,
SP__LY__2022__16.0,LY__2022,,,,,,,,,16.0,,,,,,rembrandt,,no,
SP__LY__2022__17.0,LY__2022,,,,,,,,,17.0,,,,,,heerup,,no,
SP__LY__2022__11.0,LY__2022,,,,,,,,,11.0,,,,,,rembrandt,,yes,
SP__LY__2022__12.0,LY__2022,,,,,,,,,12.0,,,,,,kvium,,yes,
SP__LY__2022__13.0,LY__2022,,,,,,,,,13.0,,,,,,heerup,,yes,
SP__LY__2022__14.0,LY__2022,,,,,,,,,14.0,,,,,,kvium,,yes,
SP__LY__2022__15.0,LY__2022,,,,,,,,,15.0,,,,,,rembrandt,,yes,
SP__LY__2022__15.0,LY__2022,,,,,,,15.0,,,,,,,rembrandt,,,n,
SP__LY__2022__14.0,LY__2022,,,,,,,14.0,,,,,,,heerup,,,n,
SP__LY__2022__19.0,LY__2022,,,,,,,19.0,,,,,,,rembrandt,,,y,
SP__LY__2022__20.0,LY__2022,,,,,,,20.0,,,,,,,kvium,,,y,
SP__LY__2022__5.0,LY__2022,,,,,,,5.0,,,,,,,kvuim,,,y,
SP__LY__2022__6.0,LY__2022,,,,,,,6.0,,,,,,,heerup,,,y,
SP__LY__2022__16.0,LY__2022,,,,,,,16.0,,,,,,,kvium,,,y,
SP__LY__2022__17.0,LY__2022,,,,,,,17.0,,,,,,,rembrandt,,,y,
SP__LY__2022__7.0,LY__2022,,,,,,,7.0,,,,,,,heerup,,,y,
SP__LY__2022__18.0,LY__2022,,,,,,,18.0,,,,,,,heerup,,,y,
SP__LY__2022__12.0,LY__2022,,,,,,,12.0,,,,,,,heerup,,,n,
SP__LY__2022__7.0,LY__2022,,,,,,,7.0,,,,,,,Heerup,,,n,
SP__LY__2022__8.0,LY__2022,,,,,,,8.0,,,,,,,Rembrandt,,,n,
SP__LY__2022__9.0,LY__2022,,,,,,,9.0,,,,,,,Kvium,,,n,
SP__LY__2022__10.0,LY__2022,,,,,,,10.0,,,,,,,Rembrandt,,,y,
SP__LY__2022__11.0,LY__2022,,,,,,,11.0,,,,,,,Kvium,,,y,
SP__LY__2022__12.0,LY__2022,,,,,,,12.0,,,,,,,Heerup,,,y,
SP__LY__2022__19.0,LY__2022,,,,,,,19.0,,,,,,,Rembrandt,,,n,
SP__LY__2022__22.0,LY__2022,,,,,,,22.0,,,,,,,heerup,,,y,
SP__LY__2022__6.0,LY__2022,,,,,,,6.0,,,,,,,Heerup,,,n,
SP__LY__2022__8.0,LY__2022,,,,,,,8.0,,,,,,,rembrandt,,,y,
SP__LY__2022__9.0,LY__2022,,,,,,,9.0,,,,,,,kvuim,,,n,
SP__LY__2022__10.0,LY__2022,,,,,,,10.0,,,,,,,rembrandt,,,n,
SP__LY__2022__11.0,LY__2022,,,,,,,11.0,,,,,,,kvuim,,,n,
SP__LY__2022__13.0,LY__2022,,,,,,,13.0,,,,,,,heerup,,,n,
SP__LY__2022__14.0,LY__2022,,,,,,,14.0,,,,,,,rembrandt,,,n,
SP__LY__2022__23.0,LY__2022,,,,,,,23.0,,,,,,,rembrandt,,,n,
SP__LY__2022__23.0,LY__2022,,,,,,,23.0,,,,,,,heerup,,,y,
SP__LY__2022__22.0,LY__2022,,,,,,,22.0,,,,,,,rembrandt,,,y,
SP__LY__2022__20.0,LY__2022,,,,,,,20.0,,,,,,,kvium,,,n,
SP__LY__2022__21.0,LY__2022,,,,,,,21.0,,,,,,,heerup,,,n,
SP__LY__2022__3.0,LY__2022,,,,,,,3.0,,,,,,,kvuim,,,n,
SP__LY__2022__4.0,LY__2022,,,,,,,4.0,,,,,,,rembrandt,,,y,
SP__LY__2022__19.0,LY__2022,,,,,,,19.0,,,,,,,rembrandt,,,n,
SP__LY__2022__1.0,LY__2022,,,,,,,1.0,,,,,,,rembrandt,,,n,
SP__LY__2022__2.0,LY__2022,,,,,,,2.0,,,,,,,heerup,,,n,
SP__LY__2022__22.0,LY__2022,,,,,,,22.0,,,,,,,heerup,,,n,
SP__LY__2022__21.0,LY__2022,,,,,,,21.0,,,,,,,heerup,,,y,
SP__LY__2022__17.0,LY__2022,,,,,,,17.0,,,,,,,kvium,,,y,
SP__LY__2022__18.0,LY__2022,,,,,,,18.0,,,,,,,rembrandt,,,y,
SP__LY__2022__16.0,LY__2022,,,,,,,16.0,,,,,,,heerup,,,y,
SP__LY__2022__15.0,LY__2022,,,,,,,15.0,,,,,,,heerup,,,n,
SP__LY__2022__21.0,LY__2022,,,,,,,21.0,,,,,,,kvium,,,y,
SP__LY__2022__14.0,LY__2022,,,,,,,14.0,,,,,,,kvium,,,n,
SP__LY__2022__13.0,LY__2022,,,,,,,13.0,,,,,,,rembrandt,,,n,
SP__LY__2022__12.0,LY__2022,,,,,,,12.0,,,,,,,kvium,,,n,
SP__LY__2022__11.0,LY__2022,,,,,,,11.0,,,,,,,rembrandt,,,n,
SP__LY__2022__10.0,LY__2022,,,,,,,10.0,,,,,,,heerup,,,n,
SP__LY__2022__9.0,LY__2022,,,,,,,9.0,,,,,,,rembrandt,,,y,
SP__LY__2022__8.0,LY__2022,,,,,,,8.0,,,,,,,kvium,,,y,
SP__LY__2022__5.0,LY__2022,,,,,,,5.0,,,,,,,rembrandt,,,y,
SP__LY__2022__4.0,LY__2022,,,,,,,4.0,,,,,,,heerup,,,y,
SP__LY__2022__3.0,LY__2022,,,,,,,3.0,,,,,,,kvium,,,y,
SP__LY__2022__24.0,LY__2022,,,,,,,24.0,,,,,,,kvium,,,n,
SP__LY__2022__23.0,LY__2022,,,,,,,23.0,,,,,,,rembrandt,,,y,
SP__LY__2022__6.0,LY__2022,,,,,,,6.0,,,,,,,kvium,,,n,
SP__LY__2022__16.0,LY__2022,,,,,,,16.0,,,,,,,rembrandt,,,y,
SP__LY__2022__18.0,LY__2022,,,,,,,18.0,,,,,,,kvium,,,y,
SP__LY__2022__17.0,LY__2022,,,,,,,17.0,,,,,,,heerup,,,y,
SP__LY__2022__20.0,LY__2022,,,,,,,20.0,,,,,,,rembrandt,,,n,
SP__LY__2022__19.0,LY__2022,,,,,,,19.0,,,,,,,heerup,,,n,
SP__LY__2022__21.0,LY__2022,,,,,,,21.0,,,,,,,kvuim,,,y,
SP__LY__2022__20.0,LY__2022,,,,,,,20.0,,,,,,,heerup,,,y,
SP__LY__2022__22.0,LY__2022,,,,,,,22.0,,,,,,,kvuim,,,n,
SP__LY__2022__15.0,LY__2022,,,,,,,15.0,,,,,,,kvuim,,,n,
SP__LY__2022__17.0,LY__2022,,,,,,,17.0,,,,,,,kvuim,,,y,
SP__LY__2022__3.0,LY__2022,,,,,,,3.0,,,,,,,Kvium,,,n,
SP__LY__2022__4.0,LY__2022,,,,,,,4.0,,,,,,,Heerup,,,n,
SP__LY__2022__5.0,LY__2022,,,,,,,5.0,,,,,,,Rembrandt,,,n,
SP__LY__2022__6.0,LY__2022,,,,,,,6.0,,,,,,,Kvium,,,y,
SP__LY__2022__2.0,LY__2022,,,,,,,2.0,,,,,,,Heerup,,,y,
SP__LY__2022__12.0,LY__2022,,,,,,,12.0,,,,,,,Kvium,,,y,
SP__LY__2022__13.0,LY__2022,,,,,,,13.0,,,,,,,Heerup,,,y,
SP__LY__2022__14.0,LY__2022,,,,,,,14.0,,,,,,,Kvium,,,y,
SP__LY__2022__1.0,LY__2022,,,,,,,1.0,,,,,,,Rembrandt,,,y,
SP__LY__2022__2.0,LY__2022,,,,,,,2.0,,,,,,,Kvium,,,y,
SP__LY__2022__16.0,LY__2022,,,,,,,16.0,,,,,,,Heerup,,,n,
SP__LY__2022__10.0,LY__2022,,,,,,,10.0,,,,,,,Heerup,,,y,
SP__LY__2022__11.0,LY__2022,,,,,,,11.0,,,,,,,Rembrandt,,,y,
SP__LY__2022__8.0,LY__2022,,,,,,,8.0,,,,,,,Kvium,,,n,
SP__LY__2022__9.0,LY__2022,,,,,,,9.0,,,,,,,Rembrandt,,,n,
SP__LY__2022__4.0,LY__2022,,,,,,,4.0,,,,,,,Kvium,,,n,
SP__LY__2022__3.0,LY__2022,,,,,,,3.0,,,,,,,Rembrandt,,,y,
SP__LY__2022__1.0,LY__2022,,,,,,,1.0,,,,,,,Heerup,,,y,
SP__LY__2022__5.0,LY__2022,,,,,,,5.0,,,,,,,kvium,,,y,
SP__LY__2022__3.0,LY__2022,,,,,,,3.0,,,,,,,rembrandt,,,n,
SP__LY__2022__1.0,LY__2022,,,,,,,1.0,,,,,,,kvium,,,n,
SP__LY__2022__11.0,LY__2022,,,,,,,11.0,,,,,,,heerup,,,n,
SP__LY__2022__13.0,LY__2022,,,,,,,13.0,,,,,,,kvium,,,n,
SP__LY__2022__2.0,LY__2022,,,,,,,2.0,,,,,,,rembrandt,,,n,
SP__LY__2022__3.0,LY__2022,,,,,,,3.0,,,,,,,heerup,,,n,
SP__LY__2022__12.0,LY__2022,,,,,,,12.0,,,,,,,kvium,,,y,
SP__LY__2022__11.0,LY__2022,,,,,,,11.0,,,,,,,rembrandt,,,y,
SP__LY__2022__10.0,LY__2022,,,,,,,10.0,,,,,,,heerup,,,y,
SP__LY__2022__9.0,LY__2022,,,,,,,9.0,,,,,,,heerup,,,n,
SP__LY__2022__4.0,LY__2022,,,,,,,4.0,,,,,,,kvium,,,y,
SP__LY__2022__8.0,LY__2022,,,,,,,8.0,,,,,,,kvium,,,n,
SP__LY__2022__7.0,LY__2022,,,,,,,7.0,,,,,,,rembrandt,,,n,
SP__LY__2022__17.0,LY__2022,,,,,,,17.0,,,,,,,Rembrandt,,,n,
SP__LY__2022__15.0,LY__2022,,,,,,,15.0,,,,,,,Rembrandt,,,y,
SP__LY__2022__23.0,LY__2022,,,,,,,23.0,,,,,,,Kvium,,,y,
SP__LY__2022__20.0,LY__2022,,,,,,,20.0,,,,,,,Kvium,,,n,
SP__LY__2022__18.0,LY__2022,,,,,,,18.0,,,,,,,Kvium,,,n,
SP__LY__2022__22.0,LY__2022,,,,,,,22.0,,,,,,,Rembrandt,,,y,
SP__LY__2022__21.0,LY__2022,,,,,,,21.0,,,,,,,Heerup,,,n,
SP__LY__2022__24.0,LY__2022,,,,,,,24.0,,,,,,,heerup,,,n,
SP__LY__2022__24.0,LY__2022,,,,,,,24.0,,,,,,,Heerup,,,y,
